codi,comarca,16-24,25+,total
01,alt camp,202,2393,2594
02,alt emporda,578,7070,7647
03,alt penedes,314,5044,5357
04,alt urgell,61,739,799
05,alta ribagorca,4,87,91
06,anoia,634,6954,7588
07,bages,630,8872,9502
08,baix camp,907,10695,11602
09,baix ebre,329,3969,4297
10,baix emporda,463,5964,6426
11,baix llobregat,2875,37498,40373
12,baix penedes,615,7044,7658
13,barcelones,6769,103069,109838
14,bergueda,128,1795,1923
15,cerdanya,24,431,455
16,conca de barbera,49,750,799
17,garraf,503,7770,8272
18,garrigues,51,701,751
19,garrotxa,153,1901,2054
20,girones,761,8581,9342
21,maresme,1395,23694,25089
22,montsia,269,3590,3859
23,noguera,168,1726,1894
24,osona,539,7099,7637
25,pallars jussa,49,493,542
26,pallars sobira,16,202,217
27,pla d'urgell,103,1416,1518
28,pla de l'estany,89,1000,1089
29,priorat,17,386,403
30,ribera d'ebre,79,1060,1139
31,ripolles,52,878,930
32,segarra,57,738,795
33,segria,839,10561,11400
34,selva,719,8226,8945
35,solsones,41,415,456
36,tarragones,1239,13174,14413
37,terra alta,24,351,374
38,urgell,117,1667,1783
39,aran,21,280,301
40,valles occidental,3609,46977,50585
41,valles oriental,1489,20298,21786
42,moianes,31,463,494
