codi,comarca,dones,homes,total
01,alt camp,21794,22258,44052
02,alt emporda,69273,69769,139042
03,alt penedes,53852,53670,107522
04,alt urgell,10128,10190,20318
05,alta ribagorca,1843,1961,3804
06,anoia,59194,59744,118938
07,bages,88662,86651,175313
08,baix camp,95904,93201,189105
09,baix ebre,38346,38900,77246
10,baix emporda,66281,66047,132328
11,baix llobregat,413888,400543,814431
12,baix penedes,50718,51290,102008
13,barcelones,1169284,1064672,2233956
14,bergueda,19569,19407,38976
15,cerdanya,8660,9108,17768
16,conca de barbera,9867,10270,20137
17,garraf,74886,73125,148011
18,garrigues,9026,9809,18835
19,garrotxa,28171,28052,56223
20,girones,95558,93597,189155
21,maresme,225469,219651,445120
22,montsia,33505,33755,67260
23,noguera,18672,19872,38544
24,osona,78828,78689,157517
25,pallars jussa,6326,6680,13006
26,pallars sobira,3373,3546,6919
27,pla d'urgell,18006,18744,36750
28,pla de l'estany,15992,15913,31905
29,priorat,4406,4852,9258
30,ribera d'ebre,10797,11079,21876
31,ripolles,12491,12454,24945
32,segarra,10916,11812,22728
33,segria,102526,103582,206108
34,selva,83102,85141,168243
35,solsones,6609,6760,13369
36,tarragones,127204,125478,252682
37,terra alta,5598,5849,11447
38,urgell,17859,18199,36058
39,aran,4833,5111,9944
40,valles occidental,465079,449753,914832
41,valles oriental,203170,201885,405055
42,moianes,6562,6834,13396
