codi,comarca,analfabetisme_dones,analfabetisme_homes,analfabetisme_total,doctorat universitari_dones,doctorat universitari_homes,doctorat universitari_total,educacio primaria_dones,educacio primaria_homes,educacio primaria_total,educacio primaria incompleta_dones,educacio primaria incompleta_homes,educacio primaria incompleta_total,educacio secundaria_dones,educacio secundaria_homes,educacio secundaria_total,formacio professional_dones,formacio professional_homes,formacio professional_total,graus universitaris_dones,graus universitaris_homes,graus universitaris_total,masters universitaris_dones,masters universitaris_homes,masters universitaris_total
01,alt camp,60,27,84,126,108,234,2214,1944,4155,720,501,1221,10146,11955,22095,1899,2325,4224,3270,2430,5703,546,366,909
02,alt emporda,183,120,306,351,456,810,8817,8082,16902,2796,2535,5331,33339,37326,70659,3738,4005,7740,10440,7527,17967,1332,942,2274
03,alt penedes,126,33,159,363,390,753,6192,4815,11010,1365,786,2154,23358,27279,50634,4662,5217,9879,9318,6876,16191,1365,855,2220
04,alt urgell,18,12,30,90,87,177,1071,981,2055,345,234,582,4482,5268,9756,699,876,1572,1917,1260,3174,324,195,522
05,alta ribagorca,6,3,9,18,15,36,210,156,366,66,45,111,753,1008,1761,156,207,363,444,315,756,57,33,87
06,anoia,225,54,282,312,321,633,6177,4965,11142,1857,975,2832,28398,33426,61824,5268,5805,11073,8955,6537,15492,1311,816,2127
07,bages,234,66,297,522,564,1089,10041,7554,17595,2730,1638,4368,40032,45435,85467,7128,7701,14826,14940,11079,26019,2208,1371,3576
08,baix camp,792,288,1080,798,768,1563,9588,7641,17232,3441,2034,5475,44040,48039,92082,7593,8460,16053,15723,12132,27852,2949,1857,4803
09,baix ebre,84,33,117,168,198,369,5334,4287,9621,1725,1287,3012,17610,21270,38880,2604,3036,5640,5355,3927,9276,1104,672,1776
10,baix emporda,348,132,483,426,528,954,7593,7158,14745,1938,1503,3441,30933,34221,65154,4467,4467,8934,12102,9684,21786,1584,993,2577
11,baix llobregat,1683,369,2049,3222,3297,6519,42549,30165,72717,13494,7200,20694,176586,193278,369858,38292,43824,82116,76050,58941,134994,10455,7167,17625
12,baix penedes,117,21,138,369,381,750,6333,5247,11577,1338,807,2148,26298,29202,55500,4557,4977,9534,7938,6171,14106,879,660,1539
13,barcelones,3582,891,4473,19872,20736,40608,120471,81522,201993,41955,23106,65058,437685,450378,888069,79854,89739,169593,286275,235305,521580,47457,34221,81681
14,bergueda,51,6,57,102,123,228,2589,1950,4539,420,228,648,8772,10224,18993,1668,2070,3735,3489,2463,5952,555,375,930
15,cerdanya,12,9,18,78,123,201,912,765,1677,165,108,273,4080,4923,9003,684,816,1497,1995,1713,3708,285,219,507
16,conca de barbera,9,3,12,63,66,129,1167,867,2031,318,192,510,4365,5559,9927,819,978,1797,1572,1119,2694,252,159,414
17,garraf,210,117,324,873,1005,1878,7653,5559,13212,1296,786,2082,32385,35001,67392,5826,6285,12111,17631,15651,33282,2217,1584,3798
18,garrigues,12,9,21,51,36,84,1263,1191,2454,240,261,501,3999,5277,9282,708,894,1602,1350,927,2271,255,126,381
19,garrotxa,45,24,69,180,204,384,3822,3771,7593,933,927,1863,11913,14238,26154,2304,2454,4761,5337,3639,8976,807,498,1302
20,girones,561,339,900,1170,1239,2409,9417,8358,17775,2706,2373,5082,40674,44982,85656,5883,6621,12504,19326,14208,33531,3651,2412,6066
21,maresme,702,228,930,2130,2340,4470,20979,16236,37215,7731,5742,13470,97077,106422,203499,18153,19335,37491,47283,37695,84984,6543,4593,11133
22,montsia,132,60,192,117,120,234,4416,3396,7812,1164,993,2157,15678,18909,34584,2754,2838,5592,4410,3174,7587,798,498,1299
23,noguera,78,69,147,69,81,147,2232,2058,4290,594,573,1167,8451,10944,19398,1290,1539,2829,2970,1905,4875,444,291,741
24,osona,207,60,267,591,600,1191,8610,7620,16230,2325,1527,3852,35025,41856,76884,5613,6519,12138,14616,10002,24618,2325,1350,3675
25,pallars jussa,9,3,12,45,54,99,888,810,1698,231,153,384,2484,3111,5595,549,777,1329,1281,951,2232,210,120,330
26,pallars sobira,3,0,3,33,45,78,327,282,609,60,48,105,1326,1674,3006,291,507,798,867,633,1506,147,72,219
27,pla d'urgell,87,42,132,66,84,150,2268,2118,4386,465,453,921,7878,10005,17883,1422,1635,3057,2673,1683,4356,444,219,666
28,pla de l'estany,78,48,123,159,174,330,1560,1272,2835,456,453,909,6636,7647,14283,1149,1350,2499,3207,2196,5403,669,426,1098
29,priorat,15,3,18,36,45,78,522,423,945,90,96,186,1968,2565,4533,372,516,888,792,594,1386,126,81,207
30,ribera d'ebre,27,24,51,42,51,93,1635,1317,2949,345,228,573,4668,5601,10272,912,1233,2142,1566,1122,2685,261,168,429
31,ripolles,42,24,69,87,81,168,1554,1164,2721,456,285,741,5619,6483,12105,933,1302,2238,2244,1620,3864,294,207,501
32,segarra,12,6,15,45,39,87,1347,1560,2907,447,456,903,4980,6240,11220,708,969,1677,1665,1086,2754,270,144,417
33,segria,438,204,642,948,1014,1962,10458,9771,20232,3333,3075,6408,44334,53049,97377,7608,8355,15969,18696,13302,31995,3243,2019,5265
34,selva,429,294,723,516,495,1014,9246,8511,17760,2556,2259,4812,41925,48642,90567,5907,6147,12054,12405,8985,21387,1746,1056,2799
35,solsones,15,15,27,36,45,81,690,561,1251,324,267,591,2721,3279,6003,609,780,1389,1191,849,2040,198,111,312
36,tarragones,528,150,681,1395,1530,2928,13092,10320,23412,3606,2199,5805,56178,61530,117711,10869,12648,23517,23187,18138,41328,4314,2970,7287
37,terra alta,18,12,30,18,21,39,960,819,1779,240,174,417,2592,3225,5814,306,375,681,705,423,1128,129,84,213
38,urgell,51,21,72,102,84,189,2034,1926,3963,408,360,768,8193,10011,18201,1365,1527,2892,2952,1914,4866,450,261,711
39,aran,6,6,9,33,36,72,378,351,732,75,39,114,2244,2718,4965,390,516,909,1068,816,1890,135,90,228
40,valles occidental,1911,495,2406,4563,5196,9756,45075,31905,76983,12906,6948,19854,198396,215235,413634,39057,42687,81741,89778,71613,161388,13761,9960,23718
41,valles oriental,519,126,645,1485,1512,3000,19566,16101,35667,5892,4143,10035,91239,102081,193317,18618,20814,39432,35862,26739,62601,5214,3429,8643
42,moianes,3,0,3,81,75,153,735,669,1401,96,63,159,2871,3609,6483,531,687,1218,1452,1155,2607,210,141,351
