codi,comarca,poblacio_activa_16_a_24_anys,total,pct_activa,ratio_activa
01,alt camp,1539,45469,3.38,0.03384723657876795
02,alt emporda,4728,143950,3.28,0.03284473775616534
03,alt penedes,3915,110810,3.53,0.035330746322534065
04,alt urgell,609,20458,2.98,0.02976830579724313
05,alta ribagorca,111,3989,2.78,0.02782652293807972
06,anoia,4677,125073,3.74,0.03739416180950325
07,bages,6681,180449,3.7,0.03702431157834069
08,baix camp,6426,197690,3.25,0.032505437806667
09,baix ebre,2574,79945,3.22,0.032197135530677344
10,baix emporda,4017,138195,2.91,0.029067621838706176
11,baix llobregat,30042,832079,3.61,0.03610474486196623
12,baix penedes,3624,112260,3.23,0.03228220203099946
13,barcelones,67518,2259035,2.99,0.02988798314324479
14,bergueda,1341,40306,3.33,0.03327048082171389
15,cerdanya,780,19469,4.01,0.040063690995942265
16,conca de barbera,636,20211,3.15,0.03146801246845777
17,garraf,4653,156331,2.98,0.029763770461392815
18,garrigues,597,19027,3.14,0.03137646502338782
19,garrotxa,2457,59694,4.12,0.04115991556940396
20,girones,7950,197447,4.03,0.04026396957158124
21,maresme,14688,461427,3.18,0.03183168735249563
22,montsia,2082,69008,3.02,0.030170415024345004
23,noguera,1329,39188,3.39,0.03391344289068082
24,osona,7221,164779,4.38,0.04382233172916452
25,pallars jussa,384,13254,2.9,0.028972385694884563
26,pallars sobira,228,7217,3.16,0.031592074269086876
27,pla d'urgell,1320,37410,3.53,0.03528468323977546
28,pla de l'estany,1311,32893,3.99,0.03985650442343356
29,priorat,258,9311,2.77,0.02770916120717431
30,ribera d'ebre,627,21917,2.86,0.028607929917415703
31,ripolles,849,25578,3.32,0.033192587379779495
32,segarra,972,23614,4.12,0.04116202252900822
33,segria,7422,211473,3.51,0.035096679008667774
34,selva,6093,176972,3.44,0.03442917523676062
35,solsones,549,13685,4.01,0.04011691633175009
36,tarragones,8187,263676,3.1,0.03104946980385018
37,terra alta,321,11419,2.81,0.028111042998511252
38,urgell,1338,37370,3.58,0.035804120952635805
39,aran,375,10243,3.66,0.03661036805623352
40,valles occidental,34914,938356,3.72,0.03720762695608063
41,valles oriental,16101,416758,3.86,0.03863393144222786
42,moianes,612,14388,4.25,0.042535446205170975
