codi,comarca,poblacio_estudiant,total_poblacio,pct_estudiants,ratio_estudiants,any
01,alt camp,2090,45469,4.6,0.0459653830082033,2022
02,alt emporda,5896,143950,4.1,0.0409586662035428,2022
03,alt penedes,4900,110810,4.42,0.0442198357548957,2022
04,alt urgell,893,20458,4.37,0.0436504057092579,2022
05,alta ribagorca,195,3989,4.89,0.0488844321885184,2022
06,anoia,5609,125073,4.48,0.0448458100469325,2022
07,bages,7761,180449,4.3,0.0430093821522978,2022
08,baix camp,9794,197690,4.95,0.0495422125550103,2022
09,baix ebre,3494,79945,4.37,0.0437050472199637,2022
10,baix emporda,5693,138195,4.12,0.0411954122797496,2022
11,baix llobregat,39481,832079,4.74,0.0474486196623157,2022
12,baix penedes,4670,112260,4.16,0.0415998574737217,2022
13,barcelones,98711,2259035,4.37,0.0436960914726863,2022
14,bergueda,1471,40306,3.65,0.0364958070758696,2022
15,cerdanya,777,19469,3.99,0.0399095998767271,2022
16,conca de barbera,916,20211,4.53,0.0453218544357033,2022
17,garraf,7094,156331,4.54,0.0453780760053988,2022
18,garrigues,754,19027,3.96,0.0396278971987176,2022
19,garrotxa,2202,59694,3.69,0.0368881294602472,2022
20,girones,9142,197447,4.63,0.0463010326821881,2022
21,maresme,22513,461427,4.88,0.0487899494394563,2022
22,montsia,3311,69008,4.8,0.0479799443542777,2022
23,noguera,1608,39188,4.1,0.041032969276309,2022
24,osona,6699,164779,4.07,0.0406544523270562,2022
25,pallars jussa,521,13254,3.93,0.0393088878829032,2022
26,pallars sobira,295,7217,4.09,0.0408757101288624,2022
27,pla d'urgell,1632,37410,4.36,0.0436246992782678,2022
28,pla de l'estany,1521,32893,4.62,0.046240841516432,2022
29,priorat,367,9311,3.94,0.0394157448179572,2022
30,ribera d'ebre,923,21917,4.21,0.042113427932655,2022
31,ripolles,866,25578,3.39,0.0338572210493392,2022
32,segarra,1011,23614,4.28,0.0428135851613449,2022
33,segria,9522,211473,4.5,0.0450270247265608,2022
34,selva,7380,176972,4.17,0.0417015121036096,2022
35,solsones,576,13685,4.21,0.0420898794300328,2022
36,tarragones,12698,263676,4.82,0.0481575873420409,2022
37,terra alta,472,11419,4.13,0.0413346177423592,2022
38,urgell,1718,37370,4.6,0.0459727053786459,2022
39,aran,360,10243,3.51,0.0351459533339841,2022
40,valles occidental,46768,938356,4.98,0.0498403590961213,2022
41,valles oriental,19685,416758,4.72,0.0472336463847124,2022
42,moianes,587,14388,4.08,0.0407978871281623,2022
01,alt camp,1994,45078,4.42,0.0442344380850969,2021
02,alt emporda,5826,143397,4.06,0.0406284650306491,2021
03,alt penedes,5149,110198,4.67,0.0467249859344089,2021
04,alt urgell,853,20444,4.17,0.0417237331246331,2021
05,alta ribagorca,171,3960,4.32,0.0431818181818181,2021
06,anoia,5593,124130,4.51,0.0450576009022798,2021
07,bages,7676,180687,4.25,0.0424823036521719,2021
08,baix camp,9723,195096,4.98,0.0498370033214417,2021
09,baix ebre,3561,78967,4.51,0.0450947864297744,2021
10,baix emporda,5740,137033,4.19,0.0418877204760897,2021
11,baix llobregat,39116,832374,4.7,0.0469932986854466,2021
12,baix penedes,4478,110157,4.07,0.0406510707444828,2021
13,barcelones,98974,2269922,4.36,0.0436023792888037,2021
14,bergueda,1441,39986,3.6,0.0360376131646076,2021
15,cerdanya,813,19248,4.22,0.0422381546134663,2021
16,conca de barbera,905,20159,4.49,0.0448930998561436,2021
17,garraf,7091,154207,4.6,0.0459836453598085,2021
18,garrigues,760,19032,3.99,0.0399327448507776,2021
19,garrotxa,2270,59014,3.85,0.0384654488765377,2021
20,girones,9203,196278,4.69,0.0468875778232914,2021
21,maresme,22312,460187,4.85,0.0484846377668208,2021
22,montsia,3124,68523,4.56,0.0455905316463085,2021
23,noguera,1543,39143,3.94,0.0394195641621745,2021
24,osona,6692,163867,4.08,0.0408379966680295,2021
25,pallars jussa,528,13112,4.03,0.0402684563758389,2021
26,pallars sobira,310,7116,4.36,0.0435637998875772,2021
27,pla d'urgell,1623,37200,4.36,0.0436290322580645,2021
28,pla de l'estany,1485,32817,4.53,0.0452509370143523,2021
29,priorat,369,9283,3.98,0.0397500807928471,2021
30,ribera d'ebre,952,21899,4.35,0.0434723046714461,2021
31,ripolles,872,25448,3.43,0.0342659541024834,2021
32,segarra,1052,23455,4.49,0.0448518439565124,2021
33,segria,9500,210703,4.51,0.045087160600466,2021
34,selva,7366,175335,4.2,0.0420110074999287,2021
35,solsones,605,13648,4.43,0.0443288393903868,2021
36,tarragones,12797,262868,4.87,0.0486822283427423,2021
37,terra alta,501,11405,4.39,0.0439281017097764,2021
38,urgell,1727,37239,4.64,0.0463761110663551,2021
39,aran,436,10361,4.21,0.0420808802239166,2021
40,valles occidental,46379,937386,4.95,0.0494769497304205,2021
41,valles oriental,19704,415315,4.74,0.0474435067358511,2021
42,moianes,620,14219,4.36,0.0436036289471833,2021
