comarca;dones;homes;total
Alt Camp;21794;22258;44052
Alt Empordà;69273;69769;139042
Alt Penedès;53852;53670;107522
Alt Urgell;10128;10190;20318
Alta Ribagorça;1843;1961;3804
Anoia;59194;59744;118938
Aran;4833;5111;9944
Bages;88662;86651;175313
Baix Camp;95904;93201;189105
Baix Ebre;38346;38900;77246
Baix Empordà;66281;66047;132328
Baix Llobregat;413888;400543;814431
Baix Penedès;50718;51290;102008
Barcelonès;1169284;1064672;2233956
Berguedà;19569;19407;38976
Cerdanya;8660;9108;17768
Conca de Barberà;9867;10270;20137
Garraf;74886;73125;148011
Garrigues;9026;9809;18835
Garrotxa;28171;28052;56223
Gironès;95558;93597;189155
Maresme;225469;219651;445120
Moianès;6562;6834;13396
Montsià;33505;33755;67260
Noguera;18672;19872;38544
Osona;78828;78689;157517
Pallars Jussà;6326;6680;13006
Pallars Sobirà;3373;3546;6919
Pla d'Urgell;18006;18744;36750
Pla de l'Estany;15992;15913;31905
Priorat;4406;4852;9258
Ribera d'Ebre;10797;11079;21876
Ripollès;12491;12454;24945
Segarra;10916;11812;22728
Segrià;102526;103582;206108
Selva;83102;85141;168243
Solsonès;6609;6760;13369
Tarragonès;127204;125478;252682
Terra Alta;5598;5849;11447
Urgell;17859;18199;36058
Vallès Occidental;465079;449753;914832
Vallès Oriental;203170;201885;405055
Catalunya;3846010;3707671;7553681
Metropolità;2478752;2338442;4817194
Comarques Gironines;370821;370927;741748
Camp de Tarragona;259147;256042;515189
Terres de l'Ebre;88241;89571;177812
Ponent;176983;181989;358972
Comarques Centrals;200902;199068;399970
Alt Pirineu i Aran;35144;36599;71743
Penedès;236064;235090;471154
Barcelona;2858297;2714469;5572766
Girona;377915;378222;756137
Lleida;211724;218108;429832
Tarragona;398103;396894;794997
