Paro registrado. Por sexo y grupos de edad. Total. Medias anuales. Comarcas y Aran, ámbitos y provincias;;;
2020;;;
Unidades: Personas.;;;
Fuente: Departamento de Trabajo, Asuntos Sociales y Familias.;;;
Institut d'Estadística de Catalunya;;;
https://www.idescat.cat/indicadors/?id=aec&n=15957&t=202000&lang=es;;;
comarca;16-24;25+;Total
Alt Camp;267.6;2827;3094.6
Alt Empordà;786.8;7871.1;8657.9
Alt Penedès;422.9;5736.7;6159.6
Alt Urgell;70.9;894.1;965
Alta Ribagorça;11.2;126.7;137.9
Anoia;768.4;7724.9;8493.3
Aran;43.2;394;437.2
Bages;850.1;10337.3;11187.4
Baix Camp;1302.6;12759.8;14062.4
Baix Ebre;454.7;4519.9;4974.6
Baix Empordà;557.8;6856.2;7414
Baix Llobregat;3730;42840.6;46570.6
Baix Penedès;829.4;8029.7;8859.1
Barcelonès;9117.4;123013;132130.4
Berguedà;135.3;1953.5;2088.8
Cerdanya;38.9;575.4;614.3
Conca de Barberà;73.1;881.3;954.4
Garraf;664.6;9177.9;9842.5
Garrigues;56.5;731.9;788.4
Garrotxa;198.2;2376.5;2574.7
Gironès;1130.4;10150.8;11281.2
Maresme;1978.4;26626.8;28605.2
Moianès;50;560.2;610.2
Montsià;376.8;3957.5;4334.3
Noguera;185.8;1872.5;2058.3
Osona;764.7;8015.9;8780.6
Pallars Jussà;59.1;617;676.1
Pallars Sobirà;27.8;290.4;318.2
Pla d'Urgell;125.7;1584.5;1710.2
Pla de l'Estany;128.4;1188.1;1316.5
Priorat;29;412.6;441.6
Ribera d'Ebre;87.9;1081.5;1169.4
Ripollès;83.7;995;1078.7
Segarra;74.1;788.3;862.4
Segrià;1054.5;11833.3;12887.8
Selva;1087;10367.1;11454.1
Solsonès;48.4;503;551.4
Tarragonès;1683.5;16060.8;17744.3
Terra Alta;32.5;403.7;436.2
Urgell;159.1;1852.9;2012
Vallès Occidental;4630.5;53345.7;57976.2
Vallès Oriental;1945.8;23162.9;25108.7
Cataluña;36122;425297.1;461419.1
Metropolità;21413.8;269148;290561.8
Comarques Gironines;3972.2;39804.6;43776.8
Camp de Tarragona;3355.7;32941.3;36297
Terres de l'Ebre;951.9;9962.5;10914.4
Ponent;1655.7;18663.6;20319.3
Comarques Centrals;1856.1;21465.8;23321.9
Alt Pirineu i Aran;251;2897.4;3148.4
Penedès;2665.8;30414;33079.8
Barcelona;25066.6;312559.3;337625.9
Girona;3994.3;40214.8;44209.1
Lleida;1924.2;21589.7;23513.9
Tarragona;5137;50933.5;56070.5
