Paro registrado. Por sexo y grupos de edad. Hombres. Medias anuales. Comarcas y Aran, ámbitos y provincias;;;
2020;;;
Unidades: Personas.;;;
Fuente: Departamento de Trabajo, Asuntos Sociales y Familias.;;;
Institut d'Estadística de Catalunya;;;
https://www.idescat.cat/indicadors/?id=aec&n=15957&t=202000&lang=es;;;
comarca;Total_homes;Total_dones;Total
Alt Camp;1391.4;1703.1;3094.5
Alt Empordà;3885.6;4772.3;8657.9
Alt Penedès;2631.8;3527.8;6159.6
Alt Urgell;443.2;521.8;965
Alta Ribagorça;69.1;68.8;137.9
Anoia;3562;4931.2;8493.2
Aran;234.4;202.7;437.1
Bages;5052.3;6135;11187.3
Baix Camp;6128.9;7933.4;14062.3
Baix Ebre;2298.2;2676.3;4974.5
Baix Empordà;3395.6;4018.3;7413.9
Baix Llobregat;20278.7;26291.9;46570.6
Baix Penedès;3783.1;5076.1;8859.2
Barcelonès;60974.3;71156.1;132130.4
Berguedà;906.9;1181.8;2088.7
Cerdanya;270.8;343.4;614.2
Conca de Barberà;454.9;499.4;954.3
Garraf;4263;5579.3;9842.3
Garrigues;395.1;393.3;788.4
Garrotxa;1193.6;1381.2;2574.8
Gironès;5343.8;5937.3;11281.1
Maresme;12568.8;16036.3;28605.1
Moianès;258.8;351.3;610.1
Montsià;1875.1;2459.3;4334.4
Noguera;895.3;1163;2058.3
Osona;3841.6;4939.1;8780.7
Pallars Jussà;327.1;349.1;676.2
Pallars Sobirà;159.6;158.6;318.2
Pla d'Urgell;757.7;952.7;1710.4
Pla de l'Estany;630;686.5;1316.5
Priorat;203.7;237.9;441.6
Ribera d'Ebre;547.4;621.9;1169.3
Ripollès;511.5;567.1;1078.6
Segarra;377.6;484.8;862.4
Segrià;5778.3;7109.6;12887.9
Selva;5071.8;6382.3;11454.1
Solsonès;251.8;299.6;551.4
Tarragonès;7744.7;9999.6;17744.3
Terra Alta;191.9;244.3;436.2
Urgell;858.3;1153.8;2012.1
Vallès Occidental;24978;32998.2;57976.2
Vallès Oriental;10636.2;14472.6;25108.8
Cataluña;205421.3;255997.9;461419.2
Metropolità;129514.6;161047.3;290561.9
Comarques Gironines;20031.8;23744.9;43776.7
Camp de Tarragona;15923.6;20373.4;36297
Terres de l'Ebre;4912.6;6001.8;10914.4
Ponent;9062.1;11257.2;20319.3
Comarques Centrals;10357.1;12964.8;23321.9
Alt Pirineu i Aran;1504.1;1644.3;3148.4
Penedès;14115.5;18964.3;33079.8
Barcelona;149981.8;187644.2;337626
Girona;20233.3;23975.8;44209.1
Lleida;10587.1;12926.7;23513.8
Tarragona;24619.3;31451.3;56070.6
