Formació d'adults. Centres, personal docent i alumnes per sexe i grups d'edat. Comarques i Aran;;;;;;;;;;;;;;
Curs 2022/2023;;;;;;;;;;;;;;
Font: Departament d'Educació. Servei d'indicadors i estadística.;;;;;;;;;;;;;;
Institut d'Estadística de Catalunya;;;;;;;;;;;;;;
https://www.idescat.cat/indicadors/?id=aec&n=15741&t=202300;;;;;;;;;;;;;;
comarca;Centres;Personal docent;Alumnes (homes). 16-24;Alumnes (homes). 25-64;Alumnes (homes). 65 i més;Alumnes (homes). Total;Alumnes (dones). 16-24;Alumnes (dones). 25-64;Alumnes (dones). 65 i més;Alumnes (dones). Total;Alumnes (total). 16-24;Alumnes (total). 25-64;Alumnes (total). 65 i més;Alumnes (total). Total
Alt Camp;1;7;24;59;8;91;24;155;34;213;48;214;42;304
Alt Empordà;4;38;235;616;12;863;66;317;17;400;301;933;29;1263
Alt Penedès;2;13;82;124;18;224;52;217;22;291;134;341;40;515
Alt Urgell;1;6;19;103;18;140;23;221;37;281;42;324;55;421
Alta Ribagorça;1;1;0;0;0;0;0;20;0;20;0;20;0;20
Anoia;1;5;27;58;2;87;20;152;0;172;47;210;2;259
Aran;1;3;4;44;4;52;10;124;8;142;14;168;12;194
Bages;3;38;110;583;36;729;76;444;37;557;186;1027;73;1286
Baix Camp;4;38;142;266;39;447;118;684;78;880;260;950;117;1327
Baix Ebre;2;13;42;63;25;130;58;219;40;317;100;282;65;447
Baix Empordà;5;29;109;383;47;539;123;708;51;882;232;1091;98;1421
Baix Llobregat;18;191;772;2403;327;3502;603;3491;667;4761;1375;5894;994;8263
Baix Penedès;2;14;51;86;14;151;77;302;25;404;128;388;39;555
Barcelonès;48;498;2025;3841;842;6708;1982;8830;1781;12593;4007;12671;2623;19301
Berguedà;1;6;40;61;4;105;30;116;9;155;70;177;13;260
Cerdanya;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Conca de Barberà;1;4;11;48;14;73;4;122;30;156;15;170;44;229
Garraf;3;28;116;231;52;399;96;517;84;697;212;748;136;1096
Garrigues;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Garrotxa;1;12;81;156;20;257;65;242;44;351;146;398;64;608
Gironès;4;58;434;539;35;1008;282;1072;48;1402;716;1611;83;2410
Maresme;13;89;449;1102;113;1664;264;1892;272;2428;713;2994;385;4092
Moianès;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Montsià;2;10;47;64;22;133;44;236;42;322;91;300;64;455
Noguera;1;4;19;56;18;93;23;178;29;230;42;234;47;323
Osona;6;37;143;337;26;506;130;566;20;716;273;903;46;1222
Pallars Jussà;1;3;10;35;12;57;2;121;18;141;12;156;30;198
Pallars Sobirà;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pla d'Urgell;1;0;57;116;36;209;50;364;68;482;107;480;104;691
Pla de l'Estany;1;9;85;103;23;211;52;216;34;302;137;319;57;513
Priorat;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ribera d'Ebre;1;7;42;96;16;154;19;205;19;243;61;301;35;397
Ripollès;1;3;13;30;0;43;11;88;2;101;24;118;2;144
Segarra;1;5;41;61;13;115;24;133;14;171;65;194;27;286
Segrià;4;43;180;892;75;1147;95;554;217;866;275;1446;292;2013
Selva;5;42;144;397;24;565;132;852;77;1061;276;1249;101;1626
Solsonès;1;7;28;72;10;110;17;139;26;182;45;211;36;292
Tarragonès;7;79;238;795;68;1101;181;990;138;1309;419;1785;206;2410
Terra Alta;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Urgell;1;7;28;75;34;137;30;222;46;298;58;297;80;435
Vallès Occidental;20;177;782;1607;303;2692;668;3804;730;5202;1450;5411;1033;7894
Vallès Oriental;16;137;893;1339;152;2384;291;1785;278;2354;1184;3124;430;4738
Catalunya;185;1661;7523;16841;2462;26826;5742;30298;5042;41082;13265;47139;7504;67908
