Població inactiva. Per sexe. Total. Comarques i Aran, àmbits i províncies;;;;;
Catalunya. 2021;;;;;
Font: Idescat, a partir del Cens de població i habitatges de l'INE.;;;;;
Institut d'Estadística de Catalunya;;;;;
https://www.idescat.cat/indicadors/?id=aec&n=15273&t=202100;;;;;
comarca;Població pensionista de jubilació, prejubilació;Població pensionista d'invalidesa;Població estudiant;Població amb una altra situació d'inactivitat;Total població inactiva
Alt Camp;7412;1109;1994;5576;16091
Alt Empordà;20002;2157;5826;27485;55470
Alt Penedès;15768;2313;5149;14165;37395
Alt Urgell;3445;491;853;4243;9032
Alta Ribagorça;583;101;171;580;1435
Anoia;19928;3410;5593;14111;43042
Aran;1186;180;436;1616;3418
Bages;33142;5819;7676;20637;67274
Baix Camp;27415;4388;9723;29913;71439
Baix Ebre;13574;1933;3561;12215;31283
Baix Empordà;21298;2111;5740;25739;54888
Baix Llobregat;115387;18336;39116;113487;286326
Baix Penedès;16777;3172;4478;17568;41995
Barcelonès;368308;43051;98974;383716;894049
Berguedà;9154;1689;1441;4091;16375
Cerdanya;2596;271;813;3318;6998
Conca de Barberà;3833;401;905;2371;7510
Garraf;22043;3078;7091;24820;57032
Garrigues;3881;443;760;2456;7540
Garrotxa;11311;940;2270;6552;21073
Gironès;25945;3044;9203;26666;64858
Maresme;71498;9141;22312;64215;167166
Moianès;2474;324;620;1509;4927
Montsià;11177;1734;3124;10736;26771
Noguera;6420;840;1543;5503;14306
Osona;26980;3745;6692;17605;55022
Pallars Jussà;2815;320;528;1637;5300
Pallars Sobirà;1222;165;310;765;2462
Pla d'Urgell;5278;847;1623;5090;12838
Pla de l'Estany;5140;436;1485;3506;10567
Priorat;2008;170;369;1193;3740
Ribera d'Ebre;4210;496;952;3710;9368
Ripollès;6130;646;872;2398;10046
Segarra;3324;591;1052;2718;7685
Segrià;30309;5022;9500;29828;74659
Selva;25493;3436;7366;33322;69617
Solsonès;2274;389;605;1602;4870
Tarragonès;35132;5878;12797;44965;98772
Terra Alta;2765;204;501;1420;4890
Urgell;5850;778;1727;4707;13062
Vallès Occidental;134506;23300;46379;111502;315687
Vallès Oriental;58310;9354;19704;51593;138961
Catalunya;1186303;166253;351834;1140849;2845239
Metropolità;748717;103274;226665;724958;1803614
Comarques Gironines;115319;12770;32762;125668;286519
Camp de Tarragona;75800;11946;25788;84018;197552
Terres de l'Ebre;31726;4367;8138;28081;72312
Ponent;55062;8521;16205;50302;130090
Comarques Centrals;74293;12028;17070;45628;149019
Alt Pirineu i Aran;11847;1528;3111;12159;28645
Penedès;73539;11819;22095;70035;177488
Barcelona;877457;123589;260758;821516;2083320
Girona;117271;12941;33438;128409;292059
Lleida;67272;10238;19234;61257;158001
Tarragona;124303;19485;38404;129667;311859
