Renta familiar disponible bruta (RFBD). Por habitante y Indice Cataluña. Comarcas y Aran, y ámbitos
2021 (p)
Fuente: Idescat. Estadística Renta familiar disponible bruta. Comarcas y municipios.
Nota: La nueva comarca de El Moianès se creó el 1 de mayo de 2015 (Ley 4/2015, de 23 de abril, de creación de la comarca de El Moianès) a partir de la agregación de cinco municipios de la comarca de El Bages, uno de la comarca de Osona y cuatro de la comarca de El Vallès Oriental.
(p) Dato provisional.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15917&lang=es
;RFDB (miles de euros);RFDB por habitante (euros);RFDB por habitante (Índex Catalunya=100 por habitante)
Alt Camp;747053;16512;90,0
Alt Empordà;2059702;14339;78,1
Alt Penedès;1958312;17716;96,5
Alt Urgell;293835;14416;78,5
Alta Ribagorça;60948;15345;83,6
Anoia;2057769;16506;89,9
Aran;164805;15982;87,1
Bages;3153459;17465;95,1
Baix Camp;3189934;16245;88,5
Baix Ebre;1174585;14784;80,5
Baix Empordà;2116012;15378;83,8
Baix Llobregat;15751847;18927;103,1
Baix Penedès;1706031;15343;83,6
Barcelonès;45953396;20293;110,6
Berguedà;711230;17716;96,5
Cerdanya;299295;15438;84,1
Conca de Barberà;336940;16692;90,9
Garraf;2897774;18660;101,7
Garrigues;282591;14863;81,0
Garrotxa;1037755;17472;95,2
Gironès;3400316;17270;94,1
Maresme;8492189;18427;100,4
Moianès;250635;17549;95,6
Montsià;958485;13938;75,9
Noguera;562999;14381;78,3
Osona;2937321;17874;97,4
Pallars Jussà;203144;15383;83,8
Pallars Sobirà;112200;15714;85,6
Pla d'Urgell;587604;15736;85,7
Pla de l'Estany;594220;18085;98,5
Priorat;141564;15298;83,3
Ribera d'Ebre;338736;15458;84,2
Ripollès;451187;17685;96,3
Segarra;356668;15157;82,6
Segrià;3483464;16502;89,9
Selva;2661839;15112;82,3
Solsonès;216864;15864;86,4
Tarragonès;4272332;16229;88,4
Terra Alta;164612;14408;78,5
Urgell;572617;15345;83,6
Vallès Occidental;17936978;19125;104,2
Vallès Oriental;7714105;18543;101,0
Catalunya;142363357;18356;100,0
Metropolità;95924237;19514;106,3
Comarques Gironines;12321031;15959;86,9
Camp de Tarragona;8687824;16260;88,6
Terres de l'Ebre;2636418;14521;79,1
Ponent;5845944;15910;86,7
Comarques Centrals;7193788;17594;95,9
Alt Pirineu i Aran;1134228;15245;83,1
Penedès;8619886;17182;93,6

